IP, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
172.253.115.94,connectivitycheck.gstatic.com,connectivitycheck.gstatic.com,United States,None,60,6294,30,2904,30,3390
172.253.122.94,connectivitycheck.gstatic.com,connectivitycheck.gstatic.com,United States,None,30,3147,15,1452,15,1695
31.13.65.1,graph.facebook.com,*.facebook.com,United States,None,957,1280863,493,100906,464,1179957
31.13.66.4,graph.facebook.com,*.facebook.com,United States,None,820,1188748,476,107390,344,1081358
157.240.241.17,graph.facebook.com,*.facebook.com,United States,None,314,449196,162,36006,152,413190
31.13.66.48,graph.oculus.com,*.oculus.com,United States,US;US;US;US,7287,1522319,2959,834712,4328,687607
157.240.241.55,graph.oculus.com,*.oculus.com,United States,US;US;US;US,1136,292460,477,187794,659,104666
31.13.65.51,graph.oculus.com,*.oculus.com,United States,US;US;US;US,587,164946,259,111746,328,53200
31.13.71.51,graph.oculus.com,*.oculus.com,United States,US;US;US;US,387,106900,167,71696,220,35204
157.240.229.55,graph.oculus.com,*.oculus.com,United States,US;US;US;US,88,19551,40,11415,48,8136
129.134.26.123,time.facebook.com,time.facebook.com,United States,None,16,1440,8,720,8,720
129.134.28.123,time.facebook.com,time.facebook.com,United States,None,14,1260,7,630,7,630
129.134.27.123,time.facebook.com,time.facebook.com,United States,None,12,1080,6,540,6,540
129.134.25.123,time.facebook.com,time.facebook.com,United States,None,6,540,3,270,3,270
129.134.29.123,time.facebook.com,time.facebook.com,United States,None,4,360,2,180,2,180
31.13.65.36,www.facebook.com,*.facebook.com,United States,None,93,55226,42,24842,51,30384
31.13.66.35,www.facebook.com,*.facebook.com,United States,None,89,61292,41,37944,48,23348
31.13.71.36,www.facebook.com,*.facebook.com,United States,None,48,28213,22,13912,26,14301
157.240.229.35,www.facebook.com,*.facebook.com,United States,None,42,22604,19,7652,23,14952
157.240.241.35,www.facebook.com,*.facebook.com,United States,None,24,14650,11,6953,13,7697
172.253.63.106,www.google.com,*.google.com,United States,None,38,14330,20,11448,18,2882
172.253.63.103,www.google.com,*.google.com,United States,None,36,14200,19,11384,17,2816
172.253.63.105,www.google.com,*.google.com,United States,None,36,14200,19,11384,17,2816
172.253.63.104,www.google.com,*.google.com,United States,None,34,14070,18,11320,16,2750
172.253.63.147,www.google.com,*.google.com,United States,None,17,7033,9,5658,8,1375
